crime_category;crime_type;chrgcnt;ucr;district;beat_number;map_reference;incident_number;time_from;time_to;date_from;date_to;crimeday;location_category;lat;lon;apartment_complex;residential_subdivision;activity_date;phxrecordstatus;phxcommunity;phxstatus;record;offensecategory;violentproperty;timeframe;domestic;location;period;radio;street
ALL OTHER;ALL OTHER - MISSING PERSON;;8010;D1;114;P036;17003277;0001-01-01 15:17:00+00:00;0001-01-01 14:50:00+00:00;2017-04-11;04/19/2017;WEDNESDAY;TOWN OWNED;35.782743839;-78.78413394;;DRY PROPERTY;;;No;;3683;All Other Offenses;All Other;"""Last Year;Last 6 Months""";N;"35.782743839; -78.78413394";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;PAGE ST
ALL OTHER;ALL OTHER - MISSING PERSON;;8010;D3;118;P004;17002956;0001-01-01 17:15:00+00:00;0001-01-01 19:45:00+00:00;2017-04-07;04/07/2017;FRIDAY;TOWN OWNED;35.751590821;-78.75587283;;SOUTHEAST ZONE;;;No;;3799;All Other Offenses;All Other;"""Last Year;Last 6 Months""";N;"35.751590821; -78.75587283";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;STEPHENS RD
ALL OTHER;ALL OTHER - MISSING PERSON;;8010;D3;118;P047;17003739;0001-01-01 21:00:00+00:00;0001-01-01 21:30:00+00:00;2017-05-03;05/03/2017;WEDNESDAY;TOWN OWNED;35.733965238;-78.77661513;;LOCHRIDGE LAKESIDE TWNHMS;;;No;;3816;All Other Offenses;All Other;"""Last Year;Last 6 Months""";N;"35.733965238; -78.77661513";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;LONG SHADOW LN
ALL OTHER;ALL OTHER - MISSING PERSON;;8010;D2;121;P069;17005637;0001-01-01 14:30:00+00:00;0001-01-01 17:42:00+00:00;2017-07-02;07/02/2017;SUNDAY;TOWN OWNED;35.814747039;-78.85690374;;LAKERIDGE TOWNHOMES;;;No;;3902;All Other Offenses;All Other;"""Last Year;Last 6 Months""";;"35.814747039; -78.85690374";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;BADIN LAKE CT
ALL OTHER;ALL OTHER - MISSING PERSON;;8010;D2;121;P078;17003737;0001-01-01 23:30:00+00:00;0001-01-01 01:30:00+00:00;2017-04-27;05/03/2017;WEDNESDAY;TOWN OWNED;35.808875231;-78.84069153;;PRESTON LINKS;;;No;;3905;All Other Offenses;All Other;"""Last Year;Last 6 Months""";N;"35.808875231; -78.84069153";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;HOGANS VALLEY WAY
ALL OTHER;ALL OTHER - MISSING PERSON;;8010;D2;122;P015;17003014;0001-01-01 12:30:00+00:00;0001-01-01 17:50:00+00:00;2017-04-10;04/10/2017;MONDAY;TOWN OWNED;35.818092362;-78.89951901;GROVE AT CARY PARK APTS.;GROVE AT CARY PARK;01MAR2011;Active;Yes;Active;3909;All Other Offenses;All Other;"""Last Year;Last 6 Months""";N;"35.818092362; -78.89951901";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;PONY CLUB CIR
ALL OTHER;ALL OTHER - NON CRIMINAL DETAINMENT;;4040;D3;116;P051;17003266;0001-01-01 10:30:00+00:00;0001-01-01 10:40:00+00:00;2017-04-19;04/19/2017;WEDNESDAY;TOWN OWNED;35.666761638;-78.76070729;;MIDDLE CREEK HIGH SCHOOL;;;No;;3923;All Other Offenses;All Other;"""Last Year;Last 6 Months""";N;"35.666761638; -78.76070729";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;MIDDLE CREEK PARK AV
ALL OTHER;ALL OTHER - TRESPASSING;;2670;D1;113;P030;17001779;0001-01-01 14:30:00+00:00;0001-01-01 15:00:00+00:00;2017-02-27;02/27/2017;MONDAY;TOWN OWNED;35.812742802;-78.76829126;;REEDY CREEK MIDDLE SCHOOL;;;No;;4149;All Other Offenses;All Other;"""Last Year""";N;"35.812742802; -78.76829126";"""Everything;Last Year""";Everything,Last Year;REEDY CREEK RD
ALL OTHER;ALL OTHER - TRESPASSING;;2670;D3;115;P039;17005620;0001-01-01 23:50:38+00:00;0001-01-01 23:50:39+00:00;2017-07-01;07/01/2017;SATURDAY;TOWN OWNED;35.765126858;-78.78902275;CARY PINES APTS;CARY PINES APTS;03JAN2011;Active;Yes;Active;4201;All Other Offenses;All Other;"""Last Year;Last 6 Months""";N;"35.765126858; -78.78902275";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;BARGATE DR/CHESWICK PL
ALL OTHER;ALL OTHER - TRESPASSING;;2670;D2;117;P118;16010919;0001-01-01 10:00:00+00:00;0001-01-01 10:00:00+00:00;2016-12-17;12/17/2016;SATURDAY;TOWN OWNED;35.774004497;-78.88236114;;HARMONY;;;No;;4253;All Other Offenses;All Other;"""Last Year""";Y;"35.774004497; -78.88236114";"""Everything;Last Year""";Everything,Last Year;AMIABLE LOOP
ALL OTHER;ALL OTHER - WARRANT FOR ARREST;;2640;D1;120;P058;17001775;0001-01-01 06:52:49+00:00;0001-01-01 06:52:50+00:00;2017-03-01;03/01/2017;WEDNESDAY;TOWN OWNED;35.780649297;-78.76569738;;EAST CARY MIDDLE SCHOOL;;;No;;4407;All Other Offenses;All Other;"""Last Year""";N;"35.780649297; -78.76569738";"""Everything;Last Year""";Everything,Last Year;SE MAYNARD RD
ALL OTHER;ALL OTHER OFFENSES;;2690;D1;111;P022;17006867;0001-01-01 12:20:00+00:00;0001-01-01 12:20:00+00:00;2017-08-13;08/13/2017;SUNDAY;TOWN OWNED;35.813989837;-78.80600809;;WESTON PLACE;;;No;;4427;All Other Offenses;All Other;"""Last Year;Last 3 Months;Last 6 Months""";Y;"35.813989837; -78.80600809";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;WESTON GREEN LOOP
ALL OTHER;ALL OTHER OFFENSES;;2690;D1;111;P024;17001664;0001-01-01 03:20:00+00:00;0001-01-01 03:30:00+00:00;2017-02-25;02/25/2017;SATURDAY;TOWN OWNED;35.806655438;-78.78993842;;EVANS ESTATES;;;No;;4446;All Other Offenses;All Other;"""Last Year""";N;"35.806655438; -78.78993842";"""Everything;Last Year""";Everything,Last Year;EVANS ESTATES DR
ALL OTHER;ALL OTHER OFFENSES;;2690;D1;113;P030;16008811;0001-01-01 21:20:49+00:00;0001-01-01 21:20:50+00:00;2016-10-13;10/13/2016;THURSDAY;TOWN OWNED;35.801432634;-78.76767745;;;;;No;;4549;All Other Offenses;All Other;"""Last Year""";N;"35.801432634; -78.76767745";"""Everything;Last Year""";Everything,Last Year;NE MAYNARD RD
ALL OTHER;ALL OTHER OFFENSES;;2690;D1;113;P032;17004996;0001-01-01 12:00:00+00:00;0001-01-01 12:00:00+00:00;2017-02-01;05/27/2017;SATURDAY;TOWN OWNED;35.803207429;-78.78202212;;HARRISON POINTE SHOP CENTER;;;No;;4576;All Other Offenses;All Other;"""Last Year;Last 6 Months""";N;"35.803207429; -78.78202212";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;N HARRISON AV
ALL OTHER;ALL OTHER OFFENSES;;2690;D1;113;P060;17007668;0001-01-01 22:30:00+00:00;0001-01-01 22:35:00+00:00;2017-09-05;09/05/2017;TUESDAY;TOWN OWNED;35.788318078;-78.78256802;;TCAP ZONE;;;No;;4600;All Other Offenses;All Other;"""Last Year;Last Month;Last 3 Months;Last 6 Months""";N;"35.788318078; -78.78256802";"""Everything;Last Year;Last Month;Last 3 Months;Last 6 Months""";Everything,Last Year, Last Month, Last 3 Months, Last 6 Months;N ACADEMY ST
ALL OTHER;ALL OTHER OFFENSES;;2690;D1;114;P065;16010837;0001-01-01 18:15:00+00:00;0001-01-01 18:17:20+00:00;2016-12-15;12/15/2016;THURSDAY;TOWN OWNED;35.797737866;-78.81717624;BELL PRESTON RESERVE APTS.;BELL PRESTON RESERVE APTS;19SEP2012;Active;Yes;Active;4662;All Other Offenses;All Other;"""Last Year""";Y;"35.797737866; -78.81717624";"""Everything;Last Year""";Everything,Last Year;BERWICK VALLEY LN
ALL OTHER;ALL OTHER OFFENSES;;2690;D3;115;P039;17003257;0001-01-01 19:35:00+00:00;0001-01-01 19:35:00+00:00;2017-04-18;04/18/2017;TUESDAY;TOWN OWNED;35.766859586;-78.78814853;ARBORS AT CARY;ARBORS AT CARY;16MAR2011;Active;Yes;Active;4692;All Other Offenses;All Other;"""Last Year;Last 6 Months""";N;"35.766859586; -78.78814853";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;CHESWICK PL
ALL OTHER;ALL OTHER OFFENSES;;2690;D3;118;P004;17002538;0001-01-01 20:35:00+00:00;0001-01-01 20:35:00+00:00;2017-03-24;03/24/2017;FRIDAY;TOWN OWNED;35.739250149;-78.75451581;BENNINGTON WOODS APTS.;BENNINGTON WOODS APTS;24AUG2011;Active;Yes;Active;4873;All Other Offenses;All Other;"""Last Year""";N;"35.739250149; -78.75451581";"""Everything;Last Year""";Everything,Last Year;BARBOSA LN
ALL OTHER;ALL OTHER OFFENSES;;2690;D3;118;P046;16009169;0001-01-01 12:00:00+00:00;0001-01-01 23:59:00+00:00;2016-06-10;06/13/2016;MONDAY;TOWN OWNED;35.750436941;-78.74539483;WINDSOR AT TRYON VILLAGE APTS.;WINSOR AT TRYON VILLAGE;16MAY2012;Active;Yes;Active;4904;All Other Offenses;All Other;"""Last Year""";Y;"35.750436941; -78.74539483";"""Everything;Last Year""";Everything,Last Year;UNDERWOOD ARBOR PL
ALL OTHER;ALL OTHER OFFENSES;;2690;D2;119;P074;17001699;0001-01-01 11:30:00+00:00;0001-01-01 10:30:00+00:00;2017-02-25;02/26/2017;SUNDAY;TOWN OWNED;35.851633156;-78.90306859;;NORTHWEST ZONE;;;No;;4946;All Other Offenses;All Other;"""Last Year""";N;"35.851633156; -78.90306859";"""Everything;Last Year""";Everything,Last Year;GREEN LEVEL CHURCH RD
ALL OTHER;ALL OTHER OFFENSES;;2690;D1;120;P121;16009480;0001-01-01 11:57:39+00:00;0001-01-01 11:57:40+00:00;2016-11-04;11/04/2016;FRIDAY;TOWN OWNED;35.77385099;-78.75931174;;CARY TOWNE CENTER;;;No;;5052;All Other Offenses;All Other;"""Last Year""";N;"35.77385099; -78.75931174";"""Everything;Last Year""";Everything,Last Year;WALNUT ST
ARSON;ARSON - NON-STRUCTURE;;0900;D2;117;P013;17006951;0001-01-01 14:56:41+00:00;0001-01-01 14:56:42+00:00;2017-08-15;08/15/2017;TUESDAY;TOWN OWNED;35.78873744;-78.8577531;;;;;No;;6180;Arson;Part I;"""Last Year;Last 3 Months;Last 6 Months""";N;"35.78873744; -78.8577531";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;JENKS CARPENTER RD
ARSON;ARSON - NON-STRUCTURE;;0900;D2;117;P071;17005194;0001-01-01 21:55:00+00:00;0001-01-01 21:55:00+00:00;2017-06-18;06/18/2017;SUNDAY;TOWN OWNED;35.769198993;-78.85866982;;TATTON PLACE;;;No;;6185;Arson;Part I;"""Last Year;Last 6 Months""";N;"35.769198993; -78.85866982";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;BILLINGRATH TURN LN
ARSON;ARSON - STRUCTURE;;0900;D3;116;P051;16009627;0001-01-01 23:34:00+00:00;0001-01-01 23:35:00+00:00;2016-11-08;11/08/2016;TUESDAY;TOWN OWNED;35.669317557;-78.76051665;;MIDDLE CREEK HIGH SCHOOL;;;No;;6202;Arson;Part I;"""Last Year""";N;"35.669317557; -78.76051665";"""Everything;Last Year""";Everything,Last Year;MIDDLE CREEK PARK AV
ARSON;ARSON - STRUCTURE;;0900;D1;120;P059;17001804;0001-01-01 07:32:00+00:00;0001-01-01 07:32:00+00:00;2017-03-02;03/02/2017;THURSDAY;TOWN OWNED;35.78407689;-78.77684762;;TCAP ZONE;;;No;;6207;Arson;Part I;"""Last Year""";Y;"35.78407689; -78.77684762";"""Everything;Last Year""";Everything,Last Year;KEENER ST
AGGRAVATED ASSAULT;ASSAULT - AGGRAVATED;;0410;D1;111;P024;17003504;0001-01-01 23:19:00+00:00;0001-01-01 23:21:00+00:00;2017-04-25;04/26/2017;WEDNESDAY;TOWN OWNED;35.802989993;-78.78333796;;NORTHWOODS UNDEV;;;No;;6229;Aggravated Assault;Part I;"""Last Year;Last 6 Months""";N;"35.802989993; -78.78333796";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;N HARRISON AV
AGGRAVATED ASSAULT;ASSAULT - AGGRAVATED;;0410;D1;113;P060;17001002;0001-01-01 11:00:00+00:00;0001-01-01 12:00:00+00:00;2017-02-03;02/03/2017;FRIDAY;TOWN OWNED;35.789741928;-78.77963612;;TOWN HALL CAMPUS;;;No;;6314;Aggravated Assault;Part I;"""Last Year""";Y;"35.789741928; -78.77963612";"""Everything;Last Year""";Everything,Last Year;WILKINSON AV
AGGRAVATED ASSAULT;ASSAULT - AGGRAVATED;;0410;D1;113;P060;17004500;0001-01-01 12:00:00+00:00;0001-01-01 12:00:00+00:00;2017-05-24;05/24/2017;WEDNESDAY;TOWN OWNED;35.789741928;-78.77963612;;TOWN HALL CAMPUS;;;No;;6315;Aggravated Assault;Part I;"""Last Year;Last 6 Months""";Y;"35.789741928; -78.77963612";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;WILKINSON AV
AGGRAVATED ASSAULT;ASSAULT - AGGRAVATED;;0410;D1;114;P026;17008113;0001-01-01 01:15:00+00:00;0001-01-01 01:38:10+00:00;2017-09-20;09/20/2017;WEDNESDAY;TOWN OWNED;35.788787396;-78.78384806;;TCAP ZONE;;;No;;6332;Aggravated Assault;Part I;"""Last Year;Last Month;Last 3 Months;Last 6 Months""";N;"35.788787396; -78.78384806";"""Everything;Last Year;Last Month;Last 3 Months;Last 6 Months""";Everything,Last Year, Last Month, Last 3 Months, Last 6 Months;N HARRISON AV
AGGRAVATED ASSAULT;ASSAULT - AGGRAVATED;;0410;D3;115;P039;17001111;0001-01-01 01:00:00+00:00;0001-01-01 01:22:00+00:00;2017-02-07;02/07/2017;TUESDAY;TOWN OWNED;35.767315595;-78.78872336;ARBORS AT CARY;ARBORS AT CARY;16MAR2011;Active;Yes;Active;6400;Aggravated Assault;Part I;"""Last Year""";Y;"35.767315595; -78.78872336";"""Everything;Last Year""";Everything,Last Year;HASTINGS PL
AGGRAVATED ASSAULT;ASSAULT - AGGRAVATED;;0410;D3;116;P053;17005959;0001-01-01 21:00:00+00:00;0001-01-01 21:58:00+00:00;2017-07-13;07/13/2017;THURSDAY;TOWN OWNED;35.737431915;-78.77936872;;WAVERLY PLACE;;;No;;6435;Aggravated Assault;Part I;"""Last Year;Last 3 Months;Last 6 Months""";N;"35.737431915; -78.77936872";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;ADVENT CT
AGGRAVATED ASSAULT;ASSAULT - AGGRAVATED;;0410;D2;117;P010;17004862;0001-01-01 19:00:00+00:00;0001-01-01 13:30:29+00:00;2017-06-06;06/07/2017;WEDNESDAY;TOWN OWNED;35.768121113;-78.83197352;;PARKWAY UNDEV;;;No;;6442;Aggravated Assault;Part I;"""Last Year;Last 6 Months""";Y;"35.768121113; -78.83197352";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;WESTHIGH ST
AGGRAVATED ASSAULT;ASSAULT - AGGRAVATED;;0410;D3;118;P004;17005745;0001-01-01 03:00:00+00:00;0001-01-01 03:15:00+00:00;2017-07-07;07/07/2017;FRIDAY;TOWN OWNED;35.751762767;-78.74905627;PARK AT CROSSROADS APTS., THE;PARK AT CROSSROADS;17SEP2014;Active;Yes;Active;6485;Aggravated Assault;Part I;"""Last Year;Last 3 Months;Last 6 Months""";N;"35.751762767; -78.74905627";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;BRISBANE WOODS WAY
AGGRAVATED ASSAULT;ASSAULT - AGGRAVATED;;0410;D2;119;P074;16009310;0001-01-01 22:00:00+00:00;0001-01-01 01:00:00+00:00;2016-10-28;10/29/2016;SATURDAY;TOWN OWNED;35.857062446;-78.89627598;BEXLEY AT TRIANGLE PARK APTS;BEXLEY AT TRIANGLE PARK;19SEP2012;Active;Yes;Active;6511;Aggravated Assault;Part I;"""Last Year""";Y;"35.857062446; -78.89627598";"""Everything;Last Year""";Everything,Last Year;ALSTON VILLAGE LN
AGGRAVATED ASSAULT;ASSAULT - AGGRAVATED;;0410;D1;120;P056;17006628;0001-01-01 04:26:00+00:00;0001-01-01 04:26:00+00:00;2017-08-05;08/05/2017;SATURDAY;TOWN OWNED;35.787510791;-78.76220455;;MOBILE ESTATES;;;No;;6525;Aggravated Assault;Part I;"""Last Year;Last 3 Months;Last 6 Months""";Y;"35.787510791; -78.76220455";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;REED ST
ALL OTHER;ASSAULT - SIMPLE - ALL OTHER;;0890;D1;111;P021;17006421;0001-01-01 12:00:00+00:00;0001-01-01 12:00:00+00:00;2017-07-30;07/30/2017;SUNDAY;TOWN OWNED;35.834420783;-78.78573046;WESTON LAKESIDE APTS.;WESTON LAKESIDE;06DEC2012;Active;Yes;Active;6599;Simple Assault;Part II;"""Last Year;Last 3 Months;Last 6 Months""";Y;"35.834420783; -78.78573046";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;LAKESIDE VIEW CT
ALL OTHER;ASSAULT - SIMPLE - ALL OTHER;;0890;D1;111;P022;17002817;0001-01-01 19:53:15+00:00;0001-01-01 19:53:16+00:00;2017-04-03;04/03/2017;MONDAY;TOWN OWNED;35.813989837;-78.80600809;;WESTON PLACE;;;No;;6605;Simple Assault;Part II;"""Last Year;Last 6 Months""";Y;"35.813989837; -78.80600809";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;WESTON GREEN LOOP
ALL OTHER;ASSAULT - SIMPLE - ALL OTHER;;0890;D1;111;P023;16009902;0001-01-01 16:30:00+00:00;0001-01-01 16:50:00+00:00;2016-11-17;11/17/2016;THURSDAY;TOWN OWNED;35.800957853;-78.79990166;;RALEIGH CHINESE CHRISTIAN CHUR;;;No;;6612;Simple Assault;Part II;"""Last Year""";N;"35.800957853; -78.79990166";"""Everything;Last Year""";Everything,Last Year;CHAPEL HILL RD
ALL OTHER;ASSAULT - SIMPLE - ALL OTHER;;0890;D1;111;P024;16008509;0001-01-01 12:30:00+00:00;0001-01-01 01:54:00+00:00;2016-10-04;10/04/2016;TUESDAY;TOWN OWNED;35.8164648;-78.79085738;;SILVERCLIFF;;;No;;6671;Simple Assault;Part II;"""Last Year""";Y;"35.8164648; -78.79085738";"""Everything;Last Year""";Everything,Last Year;SILVERCLIFF TR
